№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
91;Наманган;Chartoq;улица Наманган, 5;933778521; Марказий дехкон бозор ;Чартоқ;;24;;(1-2 кунгача)
92;Самарканд;Tayloq ;A.Temur, 15 uy;933783356; Тайлоқ дехкон бозор ;Тайлоқ;;24 (соат 13:00 гача);;(1-3 кунгача)
93;Самарканд;Chelak (Payariq);улица Истиклол, 76;933784297;Челак Солиқ Идораси;Пайариқ;;24 (соат 13:00 гача);;(1-3 кунгача)
94;Самарканд;Nurobod;Gulzor ko'chasi, 3 uy;933813379;Нуро супер маркет;Нуробод;;24 (соат 13:00 гача);;(1-3 кунгача)
95;Самарканд;Oqtosh (Narpay);Амир Темур кўчаси 3-уй;933881628;Оқтош Парк;Акташ;;24 (соат 13:00 гача);;(1-3 кунгача)
96;Самарканд;Juma (Pastdo'rg'om);Ибн Сино кўчаси 26А;933881474;Жума шахар ТТБ ёнида;Пастдўрғом;;24 (соат 13:00 гача);;(1-3 кунгача)
97;Самарканд;Samarqand Motrid; Қорасув даҳаси  118-уй.;933881673;Қорасу айланма йўли 81-мактаб;Самарканд 5;;24;;(1-2 кунгача)
98;Самарканд;Samarqand Panjakent;Панжакент кучаси 182;933881494;24-Мусика мактаби ёнида;Самарканд 4;;24;;(1-2 кунгача)
99;Самарканд;Samarqand Vokzal;Абу Рейхан Беруни 81 ;933813369;"Кафе ""FRESCO""";Самарканд 3;;24;;(1-2 кунгача)
100;Самарканд;Samarqand Ulugʻbek;Самаркандская кол дорога 1;933812747;Улугбек стоянка;Самарканд 2 ;;24;;(1-2 кунгача)
101;Самарканд;Urgut;Амира Тимура дом 13;933810642;Ишонч савдо дўкони;Ургут  ;;24 (соат 13:00 гача);;(1-3 кунгача)
102;Самарканд;Samarqand Yoshlar Markazi;ул.Узбекистанская, 45;933812414; ИНФИН БАНК  ёнида;Самарканд 1;;24;;(1-2 кунгача)
103;Самарканд;Kattaqorgon;Алишер Навои кучаси 182 уй;933812325;Микрокредит банк;Каттакурган;;24;;(1-2 кунгача)
104;Самарканд;Bulung'ur;ул.Узбекистанская 79 ;933881583;Агробанк;Булунғур;;24 (соат 13:00 гача);;(1-3 кунгача)
105;Самарканд;Jomboy;улица Галакапа, 981;933881799;Агробанк рўпарасида;Жомбой;;24 (соат 13:00 гача);;(1-3 кунгача)
106;Самарканд;Payshanba;улица Алишера Навои, 14;93377679;Алишер Навоий Хиёбони;Пайшанба;;24 (соат 13:00 гача);;(1-3 кунгача)
107;Сурхандарья;Angor ;Ангор тумани Ат-Термизий кучаси, 41-уй;933785769;Молия бўлими рўпараси;Ангор;;36 (соат 13:00 гача);;(1-3 кунгача)
108;Сурхандарья;Oltinsoy  (Karluk);A.Qodiriy ko'chasi, 4 uy;933784158;Марказий шифохона чорраҳаси;Олтинсой;;36 (соат 13:00 гача);;(1-3 кунгача)
109;Сурхандарья;Sho'rchi;A.Temur ko'chasi, 33 uy;933812660;36 Мактаб;Шўрчи;;36 (соат 13:00 гача);;(1-3 кунгача)
110;Сурхандарья;Sariosiyo;Barkamol Avlod ku 1-uy;933811595;Садий Шерозий;Сариосиё;;36 (соат 13:00 гача);;(1-3 кунгача)
111;Сурхандарья;Qumqo'rg'on;Марказий кучаси;933819181/933814898;Қумқўрғон туман Термиз йўл вогзали;Қумқўрғон;;36 (соат 13:00 гача);;(1-3 кунгача)
112;Сурхандарья;Jarqo'rg'on;ул.Узбекистанская  5;933881255;Aгро банк;Жарқўрғон;;36 (соат 13:00 гача);;(1-3 кунгача)
113;Сурхандарья;Sherobod;ул. Мустакиллик, 23E-uy;933812806;Шеробод шох бекати;Шерабад;;36 (соат 13:00 гача);;(1-3 кунгача)
114;Сурхандарья;Termiz sklad Боғишамол;Янги Давр-1;933810393;(Marre me Termez) ёнида;Термез 2 ;;36;;(1-3 кунгача)
115;Сурхандарья;Boysun;Фидокорлар кучаси. 2-уй;933811039;"""NORMAT"" Мехмонхонаси";Байсун  ;;36 (соат 13:00 гача);;(1-3 кунгача)
116;Сурхандарья;Denov;Шароф Рашидов кучаси 242 уй;933818929;Денов мехмонхонаси рўпараси;Денау;;36;;(1-3 кунгача)
117;Сурхандарья;Termiz Kurant;А.Навои кучаси, 23;933819181/933814898;Малика ресторани қаторида;Термез 1;;36;;(1-3 кунгача)
118;Сурхандарья;Uzun;улица Узбекистан, 15;933774622;Автовокзал;Узун;;36;;(1-3 кунгача)
119;Сурхандарья;Qiziriq;Ko'kterak ko'chasi;933776322;Деҳқон бозор ;Қизириқ;;24;;(1-2 кунгача)
120;Сурхандарья;Muzrabot;Ona Diyor ko'chasi;933774932;ИИБ биноси рўпараси;Музрабод;;36;;(1-3 кунгача)
121;Сурхандарья;Bandixon;городской посёлок Бандихон;933776783;Бандихон тумани, 999-дорихона ёнида;Бандихон;;36;;(1-3 кунгача)
122;Сырдарья;Sirdaryo (Shaxar);ул.Узбекистанская 32;933812083;Шох бекати;Сирдарё;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
123;Сырдарья;Shirin;Марказий кўча 1-блок;933786841;Автовокзал;Ширин;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
124;Сырдарья;Baxt ;Ulug‘yo‘l ko‘chasi, 77uy;933783351;Ҳавас Супермаркети;Сирдарё;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
125;Сырдарья;Boyovut (Katlavon);Soxil maxallasi, Nurafson ko‘chasi, 27uy;933781845;ПМК 4 Грил;Боёвут;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
126;Сырдарья;Yangiyer;Амир Темур кўчаси 98-уй 1-хонодон;933813292;Артел чорраха;Янгиер;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
127;Сырдарья;Guliston;улица Сайхун 2/29;933816191;Темир йул Вокзали. Пешеходный мост;Гулистан 1;25000 / 6000;24;45000 / 7000;(1-2 кунгача)
128;Сырдарья;Guliston Oxunboboyev;улица Тошкент Йули, 1;933814131;Учталик Отлар Хайкали;Гулистан 2;25000 / 6000;24;45000 / 7000;(1-2 кунгача)
129;Сырдарья;Sirdaryo Sardoba;улица Дўстлик, 34, Пахтаабад;933778213;Автовокзал;Сардоба;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
130;Таш. Обл.;Keles (Toshkent tum);ул. Юкори Куктерак, 23;933773150;  Кўктерак бозор;Келес;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
131;Таш. Обл.;Eshonguzar (Zangiota);ул. Мустакиллик, 44;933784417;Райсентр Болница ;Зангиота;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
